Referencia interna,OFICIAL,VENTAS,SOMOS_PEKES
137205,MLM615675458,MLM549442834,N/D
137407,N/D,MLM542187653,N/D
137408,MLM616603928,MLM544086895,N/D
139808,MLM616438774,N/D,N/D
139809,MLM616438793,N/D,N/D
139810,MLM616438787,N/D,N/D
139814,N/D,N/D,N/D
142105,MLM616603926,MLM547051478,N/D
142171,MLM616603977,MLM541968043,N/D
143503,MLM616603933,N/D,N/D
143506,MLM616603940,MLM545867206,N/D
143508,MLM616603941,MLM541967332,N/D
143509,MLM616603944,MLM541974424,N/D
144127,N/D,N/D,N/D
144512,MLM616614642,MLM542152256,N/D
144518,MLM616603916,MLM541967500,N/D
144521,MLM616603958,MLM542658357,N/D
144527,MLM616603971,MLM541967405,N/D
145107,MLM616425525,MLM540464126,N/D
145108,MLM616431436,MLM546146953,N/D
145111,MLM616591418,MLM540981527,N/D
145114,MLM616425515,MLM544536056,N/D
145115,MLM616425530,MLM540453751,N/D
145123,MLM616425523,MLM540464136,N/D
145124,MLM615675462,MLM549291116,N/D
145125,MLM616425538,MLM542207365,N/D
145127,MLM615675493,MLM541038111,N/D
145128,MLM616425526,MLM540265227,N/D
145139,MLM616425527,N/D,N/D
145140,MLM616425586,MLM540264930,N/D
145141,N/D,MLM540264968,N/D
145143,MLM615675532,N/D,N/D
145144,MLM614511012,MLM563658281,N/D
145503,N/D,MLM546422354,N/D
146103,N/D,N/D,N/D
146303,MLM544099592,MLM546408881,N/D
146306,MLM545404916,MLM538942497,N/D
146308,N/D,MLM548267774,N/D
146504,N/D,MLM546948509,N/D
146521,N/D,MLM540401240,N/D
146523,MLM616614629,MLM542658612,N/D
146527,N/D,MLM544923929,N/D
146561,N/D,N/D,N/D
146563,N/D,MLM547512431,N/D
146565,N/D,MLM542658584,N/D
146568,N/D,MLM546874428,N/D
146570,MLM635891049,MLM548249475,N/D
146573,MLM635890974,MLM548321173,N/D
146576,MLM635891055,MLM548249537,N/D
146579,MLM635890968,MLM548273392,N/D
146582,MLM635890964,MLM548249545,N/D
146586,N/D,N/D,N/D
146603,N/D,MLM549290429,N/D
146612,N/D,MLM544522566,N/D
146615,N/D,MLM544086943,N/D
147514,MLM616440294,MLM540426836,N/D
147522,MLM616440290,MLM542658755,N/D
147533,MLM616440272,MLM542658722,N/D
147535,N/D,MLM544542581,N/D
147536,MLM616440287,MLM546874211,N/D
147540,MLM616440286,MLM542658571,N/D
147543,MLM616440284,MLM540242072,N/D
147544,MLM616440277,MLM542658830,N/D
147554,N/D,MLM549391135,N/D
147556,MLM616440275,MLM542658772,N/D
147560,MLM616440281,MLM546948020,N/D
147565,MLM616440279,MLM549391123,N/D
147567,MLM616440283,MLM542658495,N/D
147572,MLM616440285,MLM541967311,N/D
148127,MLM616614627,MLM542658784,N/D
148130,MLM616614634,MLM542658733,N/D
148131,MLM616614644,MLM542658829,N/D
148133,MLM616614645,MLM542739053,N/D
148136,MLM616614636,MLM542658788,N/D
148144,MLM616597084,MLM542658626,N/D
148145,MLM616597135,MLM542768992,N/D
148146,MLM616597082,MLM542767912,N/D
148911,MLM544000315,MLM544086947,N/D
149605,MLM585772982,MLM539825980,N/D
149631,N/D,MLM543394511,N/D
149633,MLM616614615,MLM543933542,N/D
149635,MLM616614659,MLM545897422,N/D
153569,MLM623106944,MLM539719754,N/D
153570,MLM616614640,MLM542768467,N/D
153703,MLM615675507,MLM549291690,N/D
153803,MLM544064814,MLM544086393,N/D
153806,MLM544064708,MLM544086494,N/D
153807,MLM544468845,MLM540718548,N/D
153809,MLM544078943,MLM544098634,N/D
153812,MLM544065306,MLM544086298,N/D
153816,MLM544066039,MLM546146935,N/D
153818,MLM540763719,MLM540762045,N/D
153819,MLM544066009,MLM545866678,N/D
153820,N/D,N/D,N/D
153822,MLM544003227,MLM541471518,N/D
153823,MLM544005008,MLM544086368,N/D
153825,MLM544064575,MLM544097804,N/D
153826,MLM544064297,MLM544086397,N/D
153827,MLM541955874,MLM539415240,N/D
153831,MLM544099590,MLM605848694,N/D
153833,MLM568852703,MLM567553867,N/D
153838,MLM544080865,MLM541439121,N/D
153842,N/D,N/D,N/D
153868,MLM540759007,MLM540758480,N/D
153870,N/D,N/D,N/D
153878,MLM549971655,MLM539419317,N/D
153879,MLM540621239,MLM548446677,N/D
153880,MLM563568155,MLM542731706,N/D
153882,MLM542332632,MLM549266100,N/D
155703,MLM616614671,MLM542768675,N/D
155902,MLM540709840,MLM540710725,N/D
156528,MLM544066279,MLM539131721,N/D
156529,MLM546863167,MLM546872228,N/D
156530,MLM545033268,MLM545874346,N/D
156532,MLM545612314,MLM545873362,N/D
157505,MLM616431499,MLM582296122,N/D
157506,MLM616431444,MLM540265016,N/D
157507,N/D,N/D,N/D
157514,MLM616614621,MLM543551742,N/D
157524,N/D,MLM543407781,N/D
157528,MLM616431400,MLM541247106,N/D
158106,N/D,MLM539462662,N/D
158109,N/D,MLM539479051,N/D
158112,N/D,MLM539463838,N/D
158136,N/D,MLM539470650,N/D
158139,N/D,MLM539479043,N/D
158142,N/D,MLM539708106,N/D
158145,N/D,MLM539708584,N/D
158148,N/D,MLM539708766,N/D
158151,N/D,MLM540738141,N/D
158154,N/D,MLM540741391,N/D
158163,N/D,MLM540746748,N/D
158202,N/D,MLM540753664,N/D
158212,N/D,MLM539954037,N/D
158215,N/D,MLM540755870,N/D
158218,N/D,MLM540755888,N/D
158221,N/D,MLM540755937,N/D
158224,N/D,MLM540755936,N/D
158227,N/D,MLM540758150,N/D
158230,N/D,MLM540757060,N/D
158242,N/D,MLM540756357,N/D
158245,N/D,MLM540756652,N/D
158254,N/D,MLM540758979,N/D
158257,N/D,MLM540759471,N/D
158260,N/D,MLM541247131,N/D
158263,N/D,MLM540766210,N/D
